supplier,scenario,rts,peer_supplier,lambda_value,perturbed_parameter,perturbation_direction,delta
K,cost_led_development,CCR,B,0.45503891436619726,late_pct,minus,0.05
K,cost_led_development,CCR,H,0.00003232632956421345,late_pct,minus,0.05
K,cost_led_development,CCR,I,0.018100966847719245,late_pct,minus,0.05
K,delivery_reliability_led,CCR,A,0.03366996102247707,late_pct,minus,0.05
K,delivery_reliability_led,CCR,B,0.1677938080911584,late_pct,minus,0.05
K,delivery_reliability_led,CCR,H,0.1321967627126422,late_pct,minus,0.05
K,delivery_reliability_led,CCR,I,0.18512054335194364,late_pct,minus,0.05
K,product_quality_led,CCR,A,0.1310610471125005,late_pct,minus,0.05
K,product_quality_led,CCR,B,0.33389828013272954,late_pct,minus,0.05
K,product_quality_led,CCR,H,0.10436109160699529,late_pct,minus,0.05
K,product_quality_led,CCR,I,0.10094507591603068,late_pct,minus,0.05
J,balanced_improvement,CCR,A,0.03234736217735894,late_pct,minus,0.05
J,balanced_improvement,CCR,B,0.6173332394581199,late_pct,minus,0.05
J,balanced_improvement,CCR,H,0.022801614572327378,late_pct,minus,0.05
J,balanced_improvement,CCR,I,0.09657471722850651,late_pct,minus,0.05
J,cost_led_development,CCR,A,0.222643967174412,late_pct,minus,0.05
J,cost_led_development,CCR,B,0.510676264580177,late_pct,minus,0.05
J,delivery_reliability_led,CCR,A,0.05547866201178751,late_pct,minus,0.05
J,delivery_reliability_led,CCR,B,0.30384527349527807,late_pct,minus,0.05
J,delivery_reliability_led,CCR,H,0.12644978133468768,late_pct,minus,0.05
J,delivery_reliability_led,CCR,I,0.165792055940174,late_pct,minus,0.05
J,product_quality_led,CCR,A,0.056318605362311334,late_pct,minus,0.05
J,product_quality_led,CCR,B,0.7582652248338745,late_pct,minus,0.05
J,product_quality_led,CCR,H,0.06522179314778895,late_pct,minus,0.05
F,balanced_improvement,CCR,A,0.1311600411593393,late_pct,minus,0.05
F,balanced_improvement,CCR,B,0.3708014152524813,late_pct,minus,0.05
F,balanced_improvement,CCR,H,0.26551207372746893,late_pct,minus,0.05
F,balanced_improvement,CCR,I,0.016707103847895956,late_pct,minus,0.05
F,cost_led_development,CCR,A,0.12792562086436757,late_pct,minus,0.05
F,cost_led_development,CCR,B,0.5604756306602469,late_pct,minus,0.05
F,cost_led_development,CCR,H,0.04955663785457818,late_pct,minus,0.05
F,cost_led_development,CCR,I,0.24231804227933815,late_pct,minus,0.05
F,delivery_reliability_led,CCR,A,0.074290032457538,late_pct,minus,0.05
F,delivery_reliability_led,CCR,B,0.1407241690796583,late_pct,minus,0.05
F,delivery_reliability_led,CCR,H,0.4202666989425916,late_pct,minus,0.05
F,delivery_reliability_led,CCR,I,0.02617505948533421,late_pct,minus,0.05
F,product_quality_led,CCR,A,0.06049289635808149,late_pct,minus,0.05
F,product_quality_led,CCR,B,0.4385992550072142,late_pct,minus,0.05
F,product_quality_led,CCR,H,0.4445797238568201,late_pct,minus,0.05
L,balanced_improvement,CCR,A,0.1248134095196497,late_pct,minus,0.05
L,balanced_improvement,CCR,B,0.7505740303814313,late_pct,minus,0.05
L,balanced_improvement,CCR,H,0.018256400779983747,late_pct,minus,0.05
L,balanced_improvement,CCR,I,0.1248248610491066,late_pct,minus,0.05
L,cost_led_development,CCR,A,0.47426649554743877,late_pct,minus,0.05
L,cost_led_development,CCR,B,0.4820877714677159,late_pct,minus,0.05
L,delivery_reliability_led,CCR,A,0.11901006153332576,late_pct,minus,0.05
L,delivery_reliability_led,CCR,B,0.36414293737890824,late_pct,minus,0.05
L,delivery_reliability_led,CCR,H,0.15657544178359029,late_pct,minus,0.05
L,delivery_reliability_led,CCR,I,0.211943849258914,late_pct,minus,0.05
L,product_quality_led,CCR,A,0.18199174068443486,late_pct,minus,0.05
L,product_quality_led,CCR,B,0.9290192831846183,late_pct,minus,0.05
L,product_quality_led,CCR,H,0.07026339209745233,late_pct,minus,0.05
A,balanced_improvement,CCR,A,1.0,late_pct,plus,0.05
A,cost_led_development,CCR,A,1.0,late_pct,plus,0.05
A,delivery_reliability_led,CCR,A,1.0,late_pct,plus,0.05
A,product_quality_led,CCR,A,1.0,late_pct,plus,0.05
B,balanced_improvement,CCR,B,1.0,late_pct,plus,0.05
B,cost_led_development,CCR,B,1.0,late_pct,plus,0.05
B,delivery_reliability_led,CCR,B,1.0,late_pct,plus,0.05
B,product_quality_led,CCR,B,1.0,late_pct,plus,0.05
G,balanced_improvement,CCR,G,1.0,late_pct,plus,0.05
G,cost_led_development,CCR,G,1.0,late_pct,plus,0.05
G,delivery_reliability_led,CCR,G,1.0,late_pct,plus,0.05
G,product_quality_led,CCR,G,1.0,late_pct,plus,0.05
H,balanced_improvement,CCR,H,1.0,late_pct,plus,0.05
H,cost_led_development,CCR,H,1.0,late_pct,plus,0.05
H,delivery_reliability_led,CCR,H,1.0,late_pct,plus,0.05
H,product_quality_led,CCR,H,1.0,late_pct,plus,0.05
I,balanced_improvement,CCR,I,1.0,late_pct,plus,0.05
I,cost_led_development,CCR,I,1.0,late_pct,plus,0.05
